"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,223,"CHE","Switzerland",1,"Aargau",1,"Aarau","CH.AG.AA",NA,"","District","District","",""
2,223,"CHE","Switzerland",1,"Aargau",2,"Baden","CH.AG.BA",NA,"","District","District","",""
3,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten","CH.AG.BG",NA,"","District","District","",""
4,223,"CHE","Switzerland",1,"Aargau",4,"Brugg","CH.AG.BR",NA,"","District","District","",""
5,223,"CHE","Switzerland",1,"Aargau",5,"Kulm","CH.AG.KU",NA,"","District","District","",""
6,223,"CHE","Switzerland",1,"Aargau",6,"Laufenburg","CH.AG.LA",NA,"","District","District","",""
7,223,"CHE","Switzerland",1,"Aargau",7,"Lenzburg","CH.AG.LB",NA,"","District","District","",""
8,223,"CHE","Switzerland",1,"Aargau",8,"Muri","CH.AG.MU",NA,"","District","District","",""
9,223,"CHE","Switzerland",1,"Aargau",9,"Rheinfelden","CH.AG.RF",NA,"","District","District","",""
10,223,"CHE","Switzerland",1,"Aargau",10,"Zofingen","CH.AG.ZF",NA,"","District","District","",""
11,223,"CHE","Switzerland",1,"Aargau",11,"Zurzach","CH.AG.ZZ",NA,"","District","District","",""
12,223,"CHE","Switzerland",2,"Appenzell Ausserrhoden",12,"Appenzell Ausserrhoden","",NA,"","District","District","",""
13,223,"CHE","Switzerland",3,"Appenzell Innerrhoden",13,"Appenzell Innerrhoden","CH.AI.AI",NA,"","District","District","",""
14,223,"CHE","Switzerland",4,"Basel-Landschaft",14,"Arlesheim","CH.BL.AH",NA,"","District","District","",""
15,223,"CHE","Switzerland",4,"Basel-Landschaft",15,"Laufen","CH.BL.LF",NA,"","District","District","",""
16,223,"CHE","Switzerland",4,"Basel-Landschaft",16,"Liestal","CH.BL.LT",NA,"","District","District","",""
17,223,"CHE","Switzerland",4,"Basel-Landschaft",17,"Sissach","CH.BL.SS",NA,"","District","District","",""
18,223,"CHE","Switzerland",4,"Basel-Landschaft",18,"Waldenburg","CH.BL.WB",NA,"","District","District","",""
19,223,"CHE","Switzerland",5,"Basel-Stadt",19,"Basel","",NA,"","District","District","",""
20,223,"CHE","Switzerland",5,"Basel-Stadt",20,"Bettingen","",NA,"","District","District","",""
21,223,"CHE","Switzerland",5,"Basel-Stadt",21,"Riehen","",NA,"","District","District","",""
22,223,"CHE","Switzerland",6,"Bern",22,"Aarberg","CH.BE.AB",NA,"","District","District","",""
23,223,"CHE","Switzerland",6,"Bern",23,"Aarwangen","CH.BE.AW",NA,"","District","District","",""
24,223,"CHE","Switzerland",6,"Bern",24,"Büren","CH.BE.BU",NA,"","District","District","",""
25,223,"CHE","Switzerland",6,"Bern",25,"Bern","CH.BE.BE",NA,"","District","District","",""
26,223,"CHE","Switzerland",6,"Bern",26,"Biel","CH.BE.BI",NA,"","District","District","",""
27,223,"CHE","Switzerland",6,"Bern",27,"Burgdorf","CH.BE.BD",NA,"","District","District","",""
28,223,"CHE","Switzerland",6,"Bern",28,"Courtelary","CH.BE.CL",NA,"","District","District","",""
29,223,"CHE","Switzerland",6,"Bern",29,"Erlach","CH.BE.EL",NA,"","District","District","",""
30,223,"CHE","Switzerland",6,"Bern",30,"Fraubrunnen","CH.BE.FB",NA,"","District","District","",""
31,223,"CHE","Switzerland",6,"Bern",31,"Frutigen 
","CH.BE.FT",NA,"","District","District","",""
