"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",1,"Aarau",NA,"","Commune","Municipality","",""
2,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",2,"Biberstein",NA,"","Commune","Municipality","",""
3,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",3,"Buchs",NA,"","Commune","Municipality","",""
4,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",4,"Densbüren",NA,"","Commune","Municipality","",""
5,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",5,"Erlinsbach",NA,"","Commune","Municipality","",""
6,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",6,"Gränichen",NA,"","Commune","Municipality","",""
7,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",7,"Hirschthal",NA,"","Commune","Municipality","",""
8,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",8,"Küttigen",NA,"","Commune","Municipality","",""
9,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",9,"Muhen",NA,"","Commune","Municipality","",""
10,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",10,"Oberentfelden",NA,"","Commune","Municipality","",""
11,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",11,"Rohr",NA,"","Commune","Municipality","",""
12,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",12,"Suhr",NA,"","Commune","Municipality","",""
13,223,"CHE","Switzerland",1,"Aargau",1,"Aarau",13,"Unterentfelden",NA,"","Commune","Municipality","",""
14,223,"CHE","Switzerland",1,"Aargau",2,"Baden",14,"Baden",NA,"","Commune","Municipality","",""
15,223,"CHE","Switzerland",1,"Aargau",2,"Baden",15,"Bellikon",NA,"","Commune","Municipality","",""
16,223,"CHE","Switzerland",1,"Aargau",2,"Baden",16,"Bergdietikon",NA,"","Commune","Municipality","",""
17,223,"CHE","Switzerland",1,"Aargau",2,"Baden",17,"Birmenstorf",NA,"","Commune","Municipality","",""
18,223,"CHE","Switzerland",1,"Aargau",2,"Baden",18,"Ehrendingen",NA,"","Commune","Municipality","",""
19,223,"CHE","Switzerland",1,"Aargau",2,"Baden",19,"Ennetbaden",NA,"","Commune","Municipality","",""
20,223,"CHE","Switzerland",1,"Aargau",2,"Baden",20,"Fislisbach",NA,"","Commune","Municipality","",""
21,223,"CHE","Switzerland",1,"Aargau",2,"Baden",21,"Freienwil",NA,"","Commune","Municipality","",""
22,223,"CHE","Switzerland",1,"Aargau",2,"Baden",22,"Gebenstorf",NA,"","Commune","Municipality","",""
23,223,"CHE","Switzerland",1,"Aargau",2,"Baden",23,"Künten",NA,"","Commune","Municipality","",""
24,223,"CHE","Switzerland",1,"Aargau",2,"Baden",24,"Killwangen",NA,"","Commune","Municipality","",""
25,223,"CHE","Switzerland",1,"Aargau",2,"Baden",25,"Mägenwil",NA,"","Commune","Municipality","",""
26,223,"CHE","Switzerland",1,"Aargau",2,"Baden",26,"Mellingen",NA,"","Commune","Municipality","",""
27,223,"CHE","Switzerland",1,"Aargau",2,"Baden",27,"Neuenhof",NA,"","Commune","Municipality","",""
28,223,"CHE","Switzerland",1,"Aargau",2,"Baden",28,"Niederrohrdorf",NA,"","Commune","Municipality","",""
29,223,"CHE","Switzerland",1,"Aargau",2,"Baden",29,"Oberrohrdorf",NA,"","Commune","Municipality","",""
30,223,"CHE","Switzerland",1,"Aargau",2,"Baden",30,"Obersiggenthal",NA,"","Commune","Municipality","",""
31,223,"CHE","Switzerland",1,"Aargau",2,"Baden",31,"Remetschwil",NA,"","Commune","Municipality","",""
32,223,"CHE","Switzerland",1,"Aargau",2,"Baden",32,"Spreitenbach",NA,"","Commune","Municipality","",""
33,223,"CHE","Switzerland",1,"Aargau",2,"Baden",33,"Stetten",NA,"","Commune","Municipality","",""
34,223,"CHE","Switzerland",1,"Aargau",2,"Baden",34,"Turgi",NA,"","Commune","Municipality","",""
35,223,"CHE","Switzerland",1,"Aargau",2,"Baden",35,"Untersiggenthal",NA,"","Commune","Municipality","",""
36,223,"CHE","Switzerland",1,"Aargau",2,"Baden",36,"Würenlingen",NA,"","Commune","Municipality","",""
37,223,"CHE","Switzerland",1,"Aargau",2,"Baden",37,"Würenlos",NA,"","Commune","Municipality","",""
38,223,"CHE","Switzerland",1,"Aargau",2,"Baden",38,"Wettingen",NA,"","Commune","Municipality","",""
39,223,"CHE","Switzerland",1,"Aargau",2,"Baden",39,"Wohlenschwil",NA,"","Commune","Municipality","",""
40,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",40,"Arni",NA,"","Commune","Municipality","",""
41,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",41,"Büttikon",NA,"","Commune","Municipality","",""
42,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",42,"Berikon",NA,"","Commune","Municipality","",""
43,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",43,"Bremgarten",NA,"","Commune","Municipality","",""
44,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",44,"Dottikon",NA,"","Commune","Municipality","",""
45,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",45,"Eggenwil",NA,"","Commune","Municipality","",""
46,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",46,"Fischbach-Göslikon",NA,"","Commune","Municipality","",""
47,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",47,"Hägglingen",NA,"","Commune","Municipality","",""
48,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",48,"Hermetschwil-Staffeln",NA,"","Commune","Municipality","",""
49,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",49,"Hilfikon",NA,"","Commune","Municipality","",""
50,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",50,"Islisberg",NA,"","Commune","Municipality","",""
51,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",51,"Jonen",NA,"","Commune","Municipality","",""
52,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",52,"Niederwil",NA,"","Commune","Municipality","",""
53,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",53,"Oberlunkhofen",NA,"","Commune","Municipality","",""
54,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",54,"Oberwil-Lieli",NA,"","Commune","Municipality","",""
55,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",55,"Rudolfstetten-Friedlisberg",NA,"","Commune","Municipality","",""
56,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",56,"Sarmenstorf",NA,"","Commune","Municipality","",""
57,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",57,"Tägerig",NA,"","Commune","Municipality","",""
58,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",58,"Uezwil",NA,"","Commune","Municipality","",""
59,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",59,"Unterlunkhofen",NA,"","Commune","Municipality","",""
60,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",60,"Villmergen",NA,"","Commune","Municipality","",""
61,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",61,"Widen",NA,"","Commune","Municipality","",""
62,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",62,"Wohlen",NA,"","Commune","Municipality","",""
63,223,"CHE","Switzerland",1,"Aargau",3,"Bremgarten",63,"Zufikon",NA,"","Commune","Municipality","",""
64,223,"CHE","Switzerland",1,"Aargau",4,"Brugg",64,"Auenstein",NA,"","Commune","Municipality","",""
65,223,"CHE","Switzerland",1,"Aargau",4,"Brugg",65,"Bözen",NA,"","Commune","Municipality","",""
66,223,"CHE","Switzerland",1,"Aargau",4,"Brugg",66,"Birr",NA,"","Commune","Municipality","",""
67,223,"CHE","Switzerland",1,"Aargau",4,"Brugg",67,"Birrhard",NA,"","Commune","Municipality","",""
68,223,"CHE","Switzerland",1,"Aargau",4,"Brugg",68,"Brugg",NA,"","Commune","Municipality","",""
69,223,"CHE","Switzerland",1,"Aargau",4,"Brugg",69,"Effingen",NA,"","Commune","Municipality","",""
70,223,"CHE","Switzerland",1,"Aargau",4,"Brugg",70,"Elfingen",NA,"","Commune","Municipality","",""
71,223,"CHE","Switzerland",1,"Aargau",4,"Brugg",71,"Gallenkirch",NA,"","Commune","Municipality","",""
72,223,"CHE","Switzerland",1,"Aargau",4,"Brugg",72,"Habsburg",NA,"","Commune","Municipality","",""
73,223,"CHE","Switzerland",1,"Aargau",4,"Brugg",73,"Hausen",NA,"","Commune","Municipality","",""
74,223,"CHE","Switzerland",1,"Aargau",4,"Brugg",74,"Hottwil",NA,"","Commune","Municipality","",""
75,223,"CHE","Switzerland",1,"Aargau",4,"Brugg",75,"Linn",NA,"","Commune","Municipality","",""
