Año;1950;1955;1960;1965;1970;1975;1980;1985;1990;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050
"0-4
";"263967
";"340015
";"387709
";"447171
";"512071
";"572041
";"631581
";"671841
";"689786
";"695660
";"714252
";"707822
";"699286
";"693509
";"687800
";"676230
";"661966
";"644234
";"625584
";"606678
";"598857
"
"5-9
";"212429
";"247575
";"321559
";"369696
";"429356
";"495004
";"556756
";"619221
";"662725
";"682959
";"688833
";"709281
";"704218
";"696422
";"691352
";"685826
";"674445
";"660358
";"642791
";"624295
";"605525
"
"10-14
";"184784
";"207426
";"243069
";"317404
";"365478
";"425101
";"490925
";"553237
";"616478
";"659930
";"677661
";"684321
";"706269
";"701989
";"694960
";"690004
";"684598
";"673332
";"659354
";"641891
";"623484
"
"15-19
";"160514
";"181493
";"204477
";"240478
";"314462
";"362602
";"422232
";"488151
";"550643
";"610993
";"639807
";"660570
";"674976
";"700518
";"699890
";"693028
";"688244
";"682996
";"671885
";"658042
";"640710
"
"20-24
";"138530
";"157118
";"178340
";"201694
";"237616
";"311257
";"359418
";"419120
";"485081
";"541630
";"572245
";"607103
";"643405
";"665061
";"697793
";"697357
";"690727
";"686138
";"681070
";"670131
";"656449
"
"25-29
";"117795
";"134981
";"153747
";"175255
";"198656
";"234570
";"307849
";"356151
";"415872
";"476761
";"508162
";"544003
";"591994
";"634369
";"662148
";"694939
";"694728
";"688323
";"683922
";"679027
";"668255
"
"30-34
";"102780
";"114126
";"131432
";"150448
";"171978
";"195492
";"231450
";"304595
";"352875
";"408986
";"452207
";"487338
";"532362
";"584521
";"631096
";"658944
";"691826
";"691837
";"685659
";"681453
";"676725
"
"35-39
";"95991
";"99028
";"110570
";"128035
";"147021
";"168590
";"192311
";"228548
";"301211
";"346635
";"388903
";"434924
";"477168
";"525395
";"580710
";"627227
";"655188
";"688152
";"688399
";"682464
";"678461
"
"40-44
";"81571
";"91902
";"95424
";"107228
";"124557
";"143478
";"165154
";"189198
";"225257
";"295733
";"333056
";"376892
";"426866
";"470880
";"520830
";"575948
";"622429
";"650496
";"683521
";"684041
";"678376
"
"45-49
";"72699
";"77426
";"87926
";"92011
";"103684
";"120782
";"139717
";"161636
";"185595
";"220483
";"285754
";"323830
";"369661
";"420334
";"465145
";"514835
";"569739
";"616130
";"644291
";"677362
";"678193
"
"50-54
";"63841
";"68185
";"73325
";"84064
";"88199
";"99648
";"116649
";"135763
";"157521
";"180788
";"212779
";"277666
";"316652
";"362590
";"413319
";"457782
";"507174
";"561751
";"607954
";"636186
";"669241
"
"55-59
";"57538
";"58833
";"63536
";"69069
";"79417
";"83566
";"94943
";"111930
";"130802
";"152077
";"174042
";"205871
";"269964
";"308607
";"354069
";"404081
";"448127
";"497056
";"551106
";"596993
";"625218
"
"60-64
";"50564
";"51442
";"53270
";"58244
";"63556
";"73352
";"77786
";"89259
";"105858
";"124292
";"144687
";"166675
";"198069
";"260469
";"298389
";"342884
";"391983
";"435382
";"483576
";"536822
";"582140
"
"65-69
";"41652
";"42876
";"44423
";"46824
";"51366
";"56235
";"65570
";"70512
";"81806
";"98143
";"116688
";"137081
";"158308
";"188538
";"248397
";"285132
";"328374
";"376139
";"418511
";"465577
";"517550
"
"70-74
";"30028
";"32270
";"34180
";"36399
";"38561
";"42516
";"47145
";"55956
";"61500
";"72820
";"89164
";"107565
";"126816
";"146913
";"175432
";"231794
";"266909
";"308261
";"353977
";"394744
";"439994
"
"75-79
";"17630
";"19799
";"22324
";"24749
";"26606
";"28452
";"32014
";"36513
";"45068
";"51264
";"62713
";"78567
";"95278
";"112846
";"131237
";"157372
";"208886
";"241524
";"279950
";"322526
";"360689
"
>80;"11430
";"12099
";"14288
";"17526
";"20522
";"23199
";"26375
";"31364
";"39157
";"50417
";"61933
";"77212
";"97625
";"122179
";"150254
";"181500
";"220229
";"280877
";"344105
";"413462
";"490116
"
